"大項目"	"中項目"	"小項目"	"JTF標準ルール"	"スタイルガイドのページ（v2.1）"	"対応ルール"
"基本文型"	"文体"	"本文"	"目的に応じて敬体、常体のどちらかに統一する。"	"10"	"不可"
"見出し"	"常体または体言止め。"	"10"	"不可"
"箇条書き"	"「本文」の文体に合わせる。"	"10"	"不可"
"図表内テキスト"	"「本文」の文体に合わせる。"	"11"	"不可"
"図表のキャプション"	"「本文」の文体に合わせる。"	"11"	"不可"
"句読点の使用"	"句点（。）と読点（、）"	"全角の「、」と「。」を使う。"	"11"	"src/jtf-punctuation-mark.js"
"ピリオド（.）とカンマ（,）"	"和文の句読点として使用しない。"	"11"	"src/jtf-punctuation-mark.js"
"文字の表記"	"用字、用語"	"ひらがな"	"全角。昭和61年7月1日内閣告示第1号の「現代仮名遣い」に準じる。"	"11"	"可※"
"漢字"	"常用漢字表にゆるやかに準じる。"	"11"	"可"
"漢字の送りがな"	"昭和48年6月18日内閣告示第2号「送り仮名の付け方」に準じる。"	"12"	"可※"
"複合語の送りがな"	"昭和48年6月18日内閣告示第2号「送り仮名の付け方」に準じる。"	"13"	"可※"
"カタカナ"	"全角。半角カタカナは特殊用途を除いて使わない。"	"14"	"可"
"カタカナの長音"	"原則として省略しない。"	"14"	"可※"
"カタカナ複合語"	"中黒または半角スペースで区切る。"	"15"	"不可"
"算用数字"	"半角。"	"16"	"可"
"アルファベット"	"半角。"	"16"	"可"
"算用数字（位取りの表記）"	"桁区切りには「カンマ」、小数点には「ピリオド」を使う。ただし桁区切りの「カンマ」は省略する場合がある。"	"16"	"不可"
"文字の表記と使い分け"	"ひらがなと漢字の使い分け"	"参考文献に従う。"	"17"	"可※"
"算用数字と漢数字の使い分け"	"数えられるものは算用数字。慣用句は漢数字。"	"19"	"部分的に可。「ひらがなと漢字の両方の表記が一般的」な語については、ひらがな表記を優先。"
"一部の助数詞の表記"	"「〜か月」、「〜か所」"	"20"	"可※"
"文字間のスペース"	"単一文字間のスペースの有無"	"全角と半角の間"	"スペースなし"	"20"	"可"
"全角どうし"	"スペースなし"	"20"	"可"
"半角どうし"	"和文中に欧文を引用するなど、和文に欧文が含まれる場合は欧文中の半角スペースを維持する。"	"20"	"不可"
"カタカナ語間のスペースの有無"	"カタカナ複合語"	"中黒または半角スペースを入れる。"	"20"	"不可"
"かっこ類と隣接する文字の間のスペースの有無"	"かっこ類と隣接する文字の間のスペース"	"スペースなし"	"20"	"可。ただし全角の丸かっこ、大かっこ、かぎかっこ、二重かぎかっこと、半角の二重引用符のみ"
"記号の表記と用途"	"句読点"	"句点（。）"	"全角"	"21"	"可"
"読点（、）"	"全角"	"21"	"可"
"ピリオド（.）、カンマ（,）"	"半角"	"21"	"可"
"記号"	"感嘆符（！）"	"全角。和文では多用しない。"	"21"	"可"
"疑問符（？）"	"全角。和文では多用しない。"	"22"	"可"
"スラッシュ（/）"	"全角または半角"	"22"	"（全角・半角どちらでもよいためチェックしない）"
"中黒（・）"	"全角"	"22"	"可"
"波線（〜または～）"	"全角"	"22"	"可"
"ハイフン（-）"	"原則として和文では使用しない。"	"22"	"オプションで可"
"コロン（：）"	"全角。和文では多用しない。"	"23"	"オプションで可"
"セミコロン（；）"	"原則として和文では使用しない。"	"23"	"オプションで可"
"ダッシュ（－）"	"原則として和文では使用しない。"	"23"	"オプションで可"
"かっこ"	"丸かっこ（）"	"全角"	"23"	"可"
"大かっこ［］"	"全角"	"23"	"可"
"かぎかっこ「」"	"全角"	"23"	"可"
"二重かぎかっこ『』"	"全角"	"23"	"（半角がないためチェックしない）"
"二重引用符"" """	"半角。和文では多用しない。"	"23"	"可"
"中かっこ{}"	"原則として和文では使用しない。"	"24"	"オプションで可"
"山かっこ＜＞"	"原則として和文では使用しない。"	"24"	"オプションで可"
"一重引用符' '"	"原則として和文では使用しない。"	"24"	"オプションで可"
"単位の表記"	"単位系"	"JIS規格Z8202「量及び単位」、Z8203「国際単位系(SI)及びその使い方」に従う。"	"24"	"不可"
"単位記号の表記"	"主に、英字による表記とカタカナによる表記がある。"	"24"
"個別の単位"	"時間、時刻"	"時間、時、分、秒、ミリ秒"	"24"
"長さ"	"mm、km、ミリメートル、センチメートル"	"24"
"質量"	"g、kg、t、グラム、キログラム、トン"	"24"
"面積、体積"	"㎡、平方メートル、立法メートル"	"24"
"電気"	"A、W、V、アンペア、ワット、ボルト"	"24"
"温度"	"℃"	"25"
"周波数"	"Hz、ヘルツ"	"25"
"速度"	"m/s、キロメートル毎時、分速～km"	"25"
"伝送速度"	"bps、Kbps、バイト/秒"	"25"
"割合"	"％、パーセント"	"25"
"角度"	"90°、90度"	"25"
"記憶容量"	"ビット、バイト、Kb、KB、Mb、MB"	"25"
"通貨"	"円、米ドル、ユーロ、＄、USD"	"25"
"その他"	""	"25"
